Rank;BIB;Last Name;First Name;Country;Team;Gender;Age;Phase;Heat;Result;IRM
1;1;VOS;Marianne;NED;STICHTING RABO WOMEN CYCLING TEAM;W;25;;;3:32:01;
2;25;WILD;Kirsten;NED;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;30;;;+0;
3;41;JOHANSSON;Emma;SWE;HITEC PRODUCTS - MISTRAL HOME CYCLING TEAM;W;29;;;+0;
4;52;BRONZINI;Giorgia;ITA;DIADORA - PASTA ZARA;W;29;;;+0;
5;15;WORRACK;Trixi;GER;TEAM SPECIALIZED - LULULEMON;W;31;;;+0;
6;126;VISSER;Adrie;NED;SKIL 1T4i;W;29;;;+0;
7;103;BRAS;Martine;NED;DOLMANS - BOELS CYCLINGTEAM;W;34;;;+0;
8;111;BACCAILLE;Monia;ITA;MCIPOLLINI GIAMBENINI;W;28;;;+0;
9;31;GUNNEWIJK;Loes;NED;GREENEDGE - AIS;W;32;;;+0;
10;5;FERRAND PREVOT;Pauline;FRA;STICHTING RABO WOMEN CYCLING TEAM;W;20;;;+0;
11;36;ARNDT;Judith;GER;GREENEDGE - AIS;W;36;;;+0;
12;173;CORDON RAGOT;Audrey;FRA;VIENNE FUTUROSCOPE;W;23;;;+0;
13;86;KASPER;Romy;GER;RUSVELO;W;24;;;+3;
14;32;CROMWELL;Tiffany;AUS;GREENEDGE - AIS;W;24;;;+3;
15;124;KANIS;Janneke;NED;SKIL 1T4i;W;27;;;+3;
16;153;BURCHENKOVA;Alexandra;RUS;MICHE - GUERCIOTTI *;W;24;;;+3;
17;26;DEIGNAN;Elizabeth;GBR;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;24;;;+3;
18;11;BECKER;Charlotte;GER;TEAM SPECIALIZED - LULULEMON;W;29;;;+3;
19;23;VAN DEN BROEK-BLAAK;Chantal;NED;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;23;;;+14;
20;44;LONGO BORGHINI;Elisa;ITA;HITEC PRODUCTS - MISTRAL HOME CYCLING TEAM;W;21;;;+14;
21;115;GUDERZO;Tatiana;ITA;MCIPOLLINI GIAMBENINI;W;28;;;+19;
22;113;BORCHI;Alessandra;ITA;MCIPOLLINI GIAMBENINI;W;29;;;+43;
23;141;GUARNIER;Megan;USA;TIBCO - TO THE TOP;W;27;;;+1:03;
24;104;VAN DER KAMP;Laura;NED;DOLMANS - BOELS CYCLINGTEAM;W;20;;;+1:03;
25;6;KNETEMANN;Roxane;NED;STICHTING RABO WOMEN CYCLING TEAM;W;25;;;+2:24;
26;3;DUSTER;Sarah;GER;STICHTING RABO WOMEN CYCLING TEAM;W;30;;;+2:24;
27;24;MARTIN;Lucy;GBR;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;22;;;+2:24;
28;34;SPRATT;Amanda;AUS;GREENEDGE - AIS;W;25;;;+2:24;
29;131;ARYS;Evelyn;BEL;KLEO LADIES TEAM;W;22;;;+2:24;
30;4;SLAPPENDEL;Iris;NED;STICHTING RABO WOMEN CYCLING TEAM;W;27;;;+2:24;
31;22;BRAND;Lucinda;NED;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;23;;;+2:24;
32;182;GAß;Daniela;GER;ABUS NUTRIXXION;W;32;;;+7:54;
33;66;MARTISSOVA;Yulia;RUS;BE PINK;W;36;;;+7:54;
34;116;TAGLIAFERRO;Marta;ITA;MCIPOLLINI GIAMBENINI;W;23;;;+7:54;
35;204;GUARISCHI;Barbara;ITA;FASSA BORTOLO - SERVETTO;W;22;;;+7:54;
36;43;MOBERG;Emilie;NOR;HITEC PRODUCTS - MISTRAL HOME CYCLING TEAM;W;21;;;+7:54;
37;125;DE GOEDE;Suzanne;NED;SKIL 1T4i;W;28;;;+7:54;
38;96;HANNES;Kaat;BEL;LOTTO BELISOL LADIES;W;21;;;+7:54;
39;134;ARNOUTS;Anne;BEL;KLEO LADIES TEAM;W;23;;;+7:54;
40;175;RIVAT;Amelie;FRA;VIENNE FUTUROSCOPE;W;23;;;+7:54;
41;184;JÖHREND;Marlen;GER;ABUS NUTRIXXION;W;26;;;+7:54;
42;53;Cilvinaite ;Inga;LTU;DIADORA - PASTA ZARA;W;26;;;+7:54;
43;145;WHEELER;Jennifer;USA;TIBCO - TO THE TOP;W;32;;;+7:54;
44;93;DE VUYST;Sofie;BEL;LOTTO BELISOL LADIES;W;25;;;+7:54;
45;74;HOHL;Jennifer;SUI;FAREN HONDA TEAM;W;26;;;+7:54;
46;123;PIETERS;Amy;NED;SKIL 1T4i;W;21;;;+7:54;
47;55;JANELIUNAITE;Edita;LTU;DIADORA - PASTA ZARA;W;24;;;+7:54;
48;231;SANDIG;Madeleine;GER;GERMANY;W;29;;;+7:54;
49;221;VAN DER BREGGEN;Anna;NED;NETHERLANDS;W;22;;;+7:54;
50;101;ENSING;Janneke;NED;DOLMANS - BOELS CYCLINGTEAM;W;26;;;+7:54;
51;71;COOKE;Nicole;GBR;FAREN HONDA TEAM;W;29;;;+7:54;
52;84;MOLICHEVA;Irina;RUS;RUSVELO;W;24;;;+7:54;
53;223;WILDEMAN;Jet;NED;NETHERLANDS;W;19;;;+7:54;
54;172;BEVERIDGE;Julie;CAN;VIENNE FUTUROSCOPE;W;24;;;+7:54;
55;211;THOMASSON;Martina;SWE;TEAM IBIS CYCLES;W;27;;;+7:54;
56;135;LINDBERG;Marie;SWE;KLEO LADIES TEAM;W;25;;;+7:54;
57;105;KESSLER;Nina;NED;DOLMANS - BOELS CYCLINGTEAM;W;24;;;+7:54;
58;203;CAUZ;Francesca;ITA;FASSA BORTOLO - SERVETTO;W;20;;;+7:54;
59;91;DUYCK;Ann-Sophie;BEL;LOTTO BELISOL LADIES;W;25;;;+7:54;
60;21;VAN WANROIJ;Marieke;NED;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;33;;;+7:54;
61;151;SCANDOLARA;Valentina;ITA;MICHE - GUERCIOTTI *;W;22;;;+7:54;
62;51;BORGATO;Giada;ITA;DIADORA - PASTA ZARA;W;23;;;+7:54;
63;12;BRENNAUER;Lisa;GER;TEAM SPECIALIZED - LULULEMON;W;24;;;+7:54;
64;16;HOSKING;Chloe;AUS;TEAM SPECIALIZED - LULULEMON;W;22;;;+7:54;
65;143;SCHNEIDER;Samantha;USA;TIBCO - TO THE TOP;W;22;;;+7:54;
66;2;DE VOCHT;Liesbet;BEL;STICHTING RABO WOMEN CYCLING TEAM;W;33;;;+7:54;
67;152;FORESI;Lorena;ITA;MICHE - GUERCIOTTI *;W;24;;;+7:54;
68;114;CARRETTA;Valentina;ITA;MCIPOLLINI GIAMBENINI;W;23;;;+7:54;
69;76;GRASSI HERRERA;Alessandra Giuseppina;MEX;FAREN HONDA TEAM;W;36;;;+7:54;
70;102;VAN DEN BROEK;Irene;NED;DOLMANS - BOELS CYCLINGTEAM;W;32;;;+7:54;
71;112;BASTIANELLI;Marta;ITA;MCIPOLLINI GIAMBENINI;W;25;;;+7:54;
72;132;CORAZZA;Martina;ITA;KLEO LADIES TEAM;W;33;;;+7:54;
73;244;FARINA;Robin;USA;UNITED STATES OF AMERICA;W;35;;;+7:54;
74;35;RHODES;Alexis;AUS;GREENEDGE - AIS;W;28;;;+7:54;
75;171;JEULAND;Pascale;FRA;VIENNE FUTUROSCOPE;W;25;;;+7:54;
76;194;SANCHIS CHAFER;Anna;ESP;BIZKAIA - DURANGO;W;25;;;+7:54;
77;241;CLIFF-RYAN;Theresa;USA;UNITED STATES OF AMERICA;W;34;;;+7:54;
78;243;DVORAK;Andrea;USA;UNITED STATES OF AMERICA;W;32;;;+7:54;
79;246;SMALL;Carmen;USA;UNITED STATES OF AMERICA;W;32;;;+7:54;
80;122;TROMP;Esra;NED;SKIL 1T4i;W;22;;;+7:54;
