Rank;BIB;Last Name;First Name;Country;Team;Gender;Age;Phase;Heat;Result;IRM
1;;VOS;Marianne;NED;NEDERLAND BLOEIT;W;24;;;3:21:30;
2;;OLDS;Shelley;USA;DIADORA - PASTA ZARA;W;31;;;+0;
3;;JOHANSSON;Emma;SWE;HITEC PRODUCTS - UCK;W;28;;;+0;
4;;BRAS;Martine;NED;DOLMANS LANDSCAPING TEAM;W;33;;;+0;
5;;DE VOCHT;Liesbet;BEL;TOPSPORT VLAANDEREN  2012 - RIDLEY TEAM;W;32;;;+0;
6;;BRONZINI;Giorgia;ITA;COLAVITA FORNO D'ASOLO;W;28;;;+0;
7;;BACCAILLE;Monia;ITA;SC MCIPOLLINI GIAMBENINI;W;27;;;+0;
8;;GOSS;Belinda;AUS;AUSTRALIA;W;27;;;+0;
9;;GILMORE;Rochelle;AUS;LOTTO HONDA TEAM;W;30;;;+0;
10;;SÖDERBERG;Isabelle;SWE;ALRIKSSON GO:GREEN;W;22;;;+0;
11;;HOSKING;Chloe;AUS;HTC HIGHROAD WOMEN;W;21;;;+0;
12;;GUARISCHI;Barbara;ITA;COLAVITA FORNO D'ASOLO;W;21;;;+0;
13;;DEIGNAN;Elizabeth;GBR;GARMIN - CERVELO;W;23;;;+0;
14;;MARTISSOVA;Yulia;RUS;GAUSS;W;35;;;+0;
15;;CLIFF-RYAN;Theresa;USA;COLAVITA FORNO D'ASOLO;W;33;;;+0;
16;;VAN DE REE;Monique;NED;AA DRINK - LEONTIEN.NL CYCLING TEAM;W;23;;;+0;
17;;JEULAND;Pascale;FRA;VIENNE FUTUROSCOPE;W;24;;;+0;
18;;KASPER;Romy;GER;GERMANY;W;23;;;+0;
19;;KIESANOWSKI;Joanne;NZL;TIBCO - TO THE TOP;W;32;;;+0;
20;;SMALL;Carmen;USA;TIBCO - TO THE TOP;W;31;;;+0;
21;;MUSTONEN;Sara;SWE;HITEC PRODUCTS - UCK;W;30;;;+0;
22;;KANIS;Janneke;NED;NEDERLAND BLOEIT;W;26;;;+0;
23;;DUSTER;Sarah;GER;NEDERLAND BLOEIT;W;29;;;+0;
24;;BORCHI;Alessandra;ITA;GAUSS;W;28;;;+0;
25;;NADALUTTI;Chiara;ITA;KLEO LADIES TEAM;W;26;;;+0;
26;;BATAGELJ;Polona;SLO;BIZKAIA-DURANGO;W;22;;;+0;
27;;STANDER;Cherise;RSA;LOTTO HONDA TEAM;W;22;;;+0;
28;;CREUX;Sophie;FRA;VIENNE FUTUROSCOPE;W;30;;;+0;
29;;MACKIE;Emma;AUS;TIBCO - TO THE TOP;W;27;;;+0;
30;;LOHSE;Dorte;DEN;DENMARK;W;40;;;+0;
31;;VAN VLEUTEN;Annemiek;NED;NEDERLAND BLOEIT;W;29;;;+0;
32;;PIETERS;Amy;NED;;W;20;;;+0;
33;;SCHNITZMEIER;Anna Bianca;GER;ABUS NUTRIXXION;W;21;;;+0;
34;;BEYEN;Ine;BEL;TOPSPORT VLAANDEREN  2012 - RIDLEY TEAM;W;24;;;+0;
35;;SLÁMOVÁ;Gabriela;CZE;VIENNE FUTUROSCOPE;W;20;;;+0;
36;;GUARNIER;Megan;USA;TIBCO - TO THE TOP;W;26;;;+0;
37;;DECROIX;Lieselot;BEL;TOPSPORT VLAANDEREN  2012 - RIDLEY TEAM;W;24;;;+0;
38;;LAMBORELLE;Nathalie;LUX;ABUS NUTRIXXION;W;23;;;+0;
39;;CUCINOTTA;Annalisa;ITA;KLEO LADIES TEAM;W;25;;;+0;
40;;COLCLOUGH;Katie;GBR;HTC HIGHROAD WOMEN;W;21;;;+0;
41;;MOBERG;Emilie;NOR;HITEC PRODUCTS - UCK;W;20;;;+0;
42;;PIJNENBORG;Mascha;NED;DOLMANS LANDSCAPING TEAM;W;30;;;+12;
43;;BOSMAN;Andrea;NED;;W;32;;;+12;
44;;FAHLIN;Emilia;SWE;HTC HIGHROAD WOMEN;W;23;;;+12;
45;;ZABELINSKAYA;Olga;RUS;DIADORA - PASTA ZARA;W;31;;;+12;
46;;VORELAND;Marie;NOR;HITEC PRODUCTS - UCK;W;21;;;+12;
47;;KIRCHMANN;Leah;CAN;CANADA;W;21;;;+12;
48;;DE GOEDE;Suzanne;NED;;W;27;;;+12;
49;;KORTEKAAS;Esther;NED;;W;26;;;+12;
